
第１要素... 種類（テーブルの場合はT、カラムの場合 C）

第１要素が T の場合
第２要素... テーブル名（例 department、employee など）
第３要素... テーブル和名（例 部署マスタ、従業員マスタ など）

第１要素が C の場合
第２要素... カラム名（例 code、first_name など）
第３要素... データ型（整数...I /少数...F /文字列...S /日付...T）
第４要素... 主キー制約（主キーの場合1、それ以外は0を指定）
第５要素... NOTNULL制約 （NOTNULLの場合1、それ以外は0）
第６要素... 登録時入力可否（INSERTする項目は1、しない項目は0）
第７要素... 更新時入力可否（UPDATEする項目は1、しない項目は0）

*主キー制約が「1」のカラムは、更新時入力可否は「0」とする
*主キー制約が「1」のカラムは、NOTNULL制約は関係ない
*主キー制約が1つも無いテーブルは取り込み不可

指定例）
C（トリガーで自動更新するカラム）,updated_at,T,0,1,0,0 
C（autoincrementで登録するカラム）,id,I,1,0,0,0
C（登録時は入力するが更新不可なカラム）,code,S,1,0,1,0

サンプル）
C/T,C名/T名,型/T和名,PK/-,NN/-,登録/-,更新/-

T,employee,従業員マスタ,,,,
C,id,I,1,0,0,0
C,first_name,S,0,1,1,1
C,last_name,S,0,0,1,1
C,email,S,0,0,1,1
C,phone_number,S,0,0,1,1
C,address,S,0,0,1,1
C,hire_date,T,0,0,1,1
C,job_title,S,0,0,1,1
C,department_code,S,0,0,1,1
C,salary,F,0,0,1,1

T,department,部署マスタ,,,,
C,code,S,1,0,1,0
C,name,S,0,1,1,1
C,description,S,0,0,1,1
C,manager_id,I,0,0,1,1
C,location,S,0,0,1,1
C,budget,F,0,1,1,1
C,created_at,T,0,1,0,0
C,updated_at,T,0,1,0,0
